TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
msdb,dbo,sysmail_event_log,account_id,7,,YES,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysmail_account,account_id,1,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysmail_profileaccount,account_id,2,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysmail_server,account_id,1,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysmail_log,account_id,7,,YES,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysdac_history_internal,action_id,1,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysdac_history_internal,action_status,8,,NO,tinyint,,,3,10,0,,,,,,,,,,
msdb,dbo,sysdac_history_internal,action_status_name,9,,YES,varchar,11,11,,,,,,,iso_1,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysdac_history_internal,action_type,4,,NO,tinyint,,,3,10,0,,,,,,,,,,
msdb,dbo,sysdac_history_internal,action_type_name,5,,YES,varchar,19,19,,,,,,,iso_1,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysschedules_localserver_view,active_end_date,14,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysschedules,active_end_date,14,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysschedules,active_end_time,16,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysschedules_localserver_view,active_end_time,16,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysschedules_localserver_view,active_start_date,13,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysschedules,active_start_date,13,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysschedules,active_start_time,15,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysschedules_localserver_view,active_start_time,15,,NO,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysdbmaintplan_history,activity,6,,YES,nvarchar,128,256,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysjobsteps,additional_parameters,7,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,dm_hadr_automatic_seeding_history,ag_db_id,4,,NO,uniqueidentifier,,,,,,,,,,,,,,,
msdb,dbo,dm_hadr_automatic_seeding_history,ag_id,3,,NO,uniqueidentifier,,,,,,,,,,,,,,,
msdb,dbo,dm_hadr_automatic_seeding_history,ag_remote_replica_id,5,,NO,uniqueidentifier,,,,,,,,,,,,,,,
